repo_full_name,raw_file_name,family_label,is_synthetic,source_repo_full_name,source_raw_file_name,augmentation_method
iwanjunaids/solana-pumpfun-bot,iwanjunaids__solana-pumpfun-bot.json,F1_pumpfun_clone,0,iwanjunaids/solana-pumpfun-bot,iwanjunaids__solana-pumpfun-bot.json,original
janmalece/solana-pumpfun-bot,janmalece__solana-pumpfun-bot.json,F1_pumpfun_clone,0,janmalece/solana-pumpfun-bot,janmalece__solana-pumpfun-bot.json,original
kay2x4/solana-pumpfun-bot,kay2x4__solana-pumpfun-bot.json,F1_pumpfun_clone,0,kay2x4/solana-pumpfun-bot,kay2x4__solana-pumpfun-bot.json,original
knightsdex/knightsbridge-dex,knightsdex__knightsbridge-dex.json,F3_web3_platform_app,0,knightsdex/knightsbridge-dex,knightsdex__knightsbridge-dex.json,original
lan666as2dfur/solana-pumpfun-bot,lan666as2dfur__solana-pumpfun-bot.json,F1_pumpfun_clone,0,lan666as2dfur/solana-pumpfun-bot,lan666as2dfur__solana-pumpfun-bot.json,original
loveccat/solana-pumpfun-bot,loveccat__solana-pumpfun-bot.json,F1_pumpfun_clone,0,loveccat/solana-pumpfun-bot,loveccat__solana-pumpfun-bot.json,original
lukgria/solana-pumpfun-bot,lukgria__solana-pumpfun-bot.json,F1_pumpfun_clone,0,lukgria/solana-pumpfun-bot,lukgria__solana-pumpfun-bot.json,original
mdemetrial26rvk9w/solana-pumpfun-bot,mdemetrial26rvk9w__solana-pumpfun-bot.json,F1_pumpfun_clone,0,mdemetrial26rvk9w/solana-pumpfun-bot,mdemetrial26rvk9w__solana-pumpfun-bot.json,original
MentarisHub121/TokenPresaleApp,MentarisHub121__TokenPresaleApp.json,F3_web3_platform_app,0,MentarisHub121/TokenPresaleApp,MentarisHub121__TokenPresaleApp.json,original
Metaldadisbad/HacxGPT,Metaldadisbad__HacxGPT.json,F5_ai_media_demo,0,Metaldadisbad/HacxGPT,Metaldadisbad__HacxGPT.json,original
mirzamudassir/blocknovas-nyx-public,mirzamudassir__blocknovas-nyx-public.json,F3_web3_platform_app,0,mirzamudassir/blocknovas-nyx-public,mirzamudassir__blocknovas-nyx-public.json,original
Morning-Star213/Solana-pumpfun-bot,Morning-Star213__Solana-pumpfun-bot.json,F2_crypto_trading_bot,0,Morning-Star213/Solana-pumpfun-bot,Morning-Star213__Solana-pumpfun-bot.json,original
nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,F4_security_osint_cve,0,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,original
oumengwas/solana-pumpfun-bot,oumengwas__solana-pumpfun-bot.json,F1_pumpfun_clone,0,oumengwas/solana-pumpfun-bot,oumengwas__solana-pumpfun-bot.json,original
Rain-Rave5/solana-pumpfun-bot,Rain-Rave5__solana-pumpfun-bot.json,F1_pumpfun_clone,0,Rain-Rave5/solana-pumpfun-bot,Rain-Rave5__solana-pumpfun-bot.json,original
rizvejoarder/SoraMax,rizvejoarder__SoraMax.json,F5_ai_media_demo,0,rizvejoarder/SoraMax,rizvejoarder__SoraMax.json,original
shivas1432/sora2-watermark-remover,shivas1432__sora2-watermark-remover.json,F5_ai_media_demo,0,shivas1432/sora2-watermark-remover,shivas1432__sora2-watermark-remover.json,original
SuperDev313/Trading_Platform_Ultrax,SuperDev313__Trading_Platform_Ultrax.json,F3_web3_platform_app,0,SuperDev313/Trading_Platform_Ultrax,SuperDev313__Trading_Platform_Ultrax.json,original
ta3pks/Decentralized-Social,ta3pks__Decentralized-Social.json,F3_web3_platform_app,0,ta3pks/Decentralized-Social,ta3pks__Decentralized-Social.json,original
themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,F4_security_osint_cve,0,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,original
wc64561673347375/solana-pumpfun-bot,wc64561673347375__solana-pumpfun-bot.json,F1_pumpfun_clone,0,wc64561673347375/solana-pumpfun-bot,wc64561673347375__solana-pumpfun-bot.json,original
wj6942/solana-pumpfun-bot,wj6942__solana-pumpfun-bot.json,F1_pumpfun_clone,0,wj6942/solana-pumpfun-bot,wj6942__solana-pumpfun-bot.json,original
xnaotutu77765/solana-pumpfun-bot,xnaotutu77765__solana-pumpfun-bot.json,F1_pumpfun_clone,0,xnaotutu77765/solana-pumpfun-bot,xnaotutu77765__solana-pumpfun-bot.json,original
xorostar/blocknovas-llc-currency-converter-task,xorostar__blocknovas-llc-currency-converter-task.json,F3_web3_platform_app,0,xorostar/blocknovas-llc-currency-converter-task,xorostar__blocknovas-llc-currency-converter-task.json,original
yvagSirKt/solana-pumpfun-bot,yvagSirKt__solana-pumpfun-bot.json,F1_pumpfun_clone,0,yvagSirKt/solana-pumpfun-bot,yvagSirKt__solana-pumpfun-bot.json,original
Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,F4_security_osint_cve,0,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,original
Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,F4_security_osint_cve,0,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,original
2723799947qq2022t/solana-pumpfun-bot,2723799947qq2022t__solana-pumpfun-bot.json,F1_pumpfun_clone,1,2723799947qq2022/solana-pumpfun-bot,2723799947qq2022__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
2kwkk/solana-pumpfun-bot,2kwkk__solana-pumpfun-bot.json,F1_pumpfun_clone,1,2kwkkk/solana-pumpfun-bot,2kwkkk__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
790659193qqch2/solana-pumpfun-bot,790659193qqch2__solana-pumpfun-bot.json,F1_pumpfun_clone,1,790659193qqch/solana-pumpfun-bot,790659193qqch__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
7arlysta/solana-pumpfun-bot,7arlysta__solana-pumpfun-bot.json,F1_pumpfun_clone,1,7arlystar/solana-pumpfun-bot,7arlystar__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
918715c8/solana-pumpfun-bot,918715c8__solana-pumpfun-bot.json,F1_pumpfun_clone,1,918715c83/solana-pumpfun-bot,918715c83__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
AmirhBeigi7zch6ff/solana-pumpfun-bot,AmirhBeigi7zch6ff__solana-pumpfun-bot.json,F1_pumpfun_clone,1,AmirhBeigi7zch6f/solana-pumpfun-bot,AmirhBeigi7zch6f__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
asmaamohamed0264a/solana-pumpfun-bot,asmaamohamed0264a__solana-pumpfun-bot.json,F1_pumpfun_clone,1,asmaamohamed0264/solana-pumpfun-bot,asmaamohamed0264__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
bogus/solana-pumpfun-bot,bogus__solana-pumpfun-bot.json,F1_pumpfun_clone,1,bog-us/solana-pumpfun-bot,bog-us__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
edparker89t/solana-pumpfun-bot,edparker89t__solana-pumpfun-bot.json,F1_pumpfun_clone,1,edparker89/solana-pumpfun-bot,edparker89__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
ii427/solana-pumpfun-bot,ii427__solana-pumpfun-bot.json,F1_pumpfun_clone,1,ii4272/solana-pumpfun-bot,ii4272__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
ijty/solana-pumpfun-bot,ijty__solana-pumpfun-bot.json,F1_pumpfun_clone,1,ijtye/solana-pumpfun-bot,ijtye__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
iwanjunaid/solana-pumpfun-bot,iwanjunaid__solana-pumpfun-bot.json,F1_pumpfun_clone,1,iwanjunaids/solana-pumpfun-bot,iwanjunaids__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
janmalece2/solana-pumpfun-bot,janmalece2__solana-pumpfun-bot.json,F1_pumpfun_clone,1,janmalece/solana-pumpfun-bot,janmalece__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
kay2x42/solana-pumpfun-bot,kay2x42__solana-pumpfun-bot.json,F1_pumpfun_clone,1,kay2x4/solana-pumpfun-bot,kay2x4__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
lan666as2dfu/solana-pumpfun-bot,lan666as2dfu__solana-pumpfun-bot.json,F1_pumpfun_clone,1,lan666as2dfur/solana-pumpfun-bot,lan666as2dfur__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
loveccat2/solana-pumpfun-bot,loveccat2__solana-pumpfun-bot.json,F1_pumpfun_clone,1,loveccat/solana-pumpfun-bot,loveccat__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
lukgrial/solana-pumpfun-bot,lukgrial__solana-pumpfun-bot.json,F1_pumpfun_clone,1,lukgria/solana-pumpfun-bot,lukgria__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
mdemetrial26rvk9wz/solana-pumpfun-bot,mdemetrial26rvk9wz__solana-pumpfun-bot.json,F1_pumpfun_clone,1,mdemetrial26rvk9w/solana-pumpfun-bot,mdemetrial26rvk9w__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
oumengwas2/solana-pumpfun-bot,oumengwas2__solana-pumpfun-bot.json,F1_pumpfun_clone,1,oumengwas/solana-pumpfun-bot,oumengwas__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
RainRave5/solana-pumpfun-bot,RainRave5__solana-pumpfun-bot.json,F1_pumpfun_clone,1,Rain-Rave5/solana-pumpfun-bot,Rain-Rave5__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
wc645616733473752/solana-pumpfun-bot,wc645616733473752__solana-pumpfun-bot.json,F1_pumpfun_clone,1,wc64561673347375/solana-pumpfun-bot,wc64561673347375__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
wj69422/solana-pumpfun-bot,wj69422__solana-pumpfun-bot.json,F1_pumpfun_clone,1,wj6942/solana-pumpfun-bot,wj6942__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
xnaotutu777652/solana-pumpfun-bot,xnaotutu777652__solana-pumpfun-bot.json,F1_pumpfun_clone,1,xnaotutu77765/solana-pumpfun-bot,xnaotutu77765__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
yvagSirKt6/solana-pumpfun-bot,yvagSirKt6__solana-pumpfun-bot.json,F1_pumpfun_clone,1,yvagSirKt/solana-pumpfun-bot,yvagSirKt__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
2723799947qq202/solana-pumpfun-bot,2723799947qq202__solana-pumpfun-bot.json,F1_pumpfun_clone,1,2723799947qq2022/solana-pumpfun-bot,2723799947qq2022__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
2kwkkk2/solana-pumpfun-bot,2kwkkk2__solana-pumpfun-bot.json,F1_pumpfun_clone,1,2kwkkk/solana-pumpfun-bot,2kwkkk__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
790659193qqch3/solana-pumpfun-bot,790659193qqch3__solana-pumpfun-bot.json,F1_pumpfun_clone,1,790659193qqch/solana-pumpfun-bot,790659193qqch__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
7arlystart/solana-pumpfun-bot,7arlystart__solana-pumpfun-bot.json,F1_pumpfun_clone,1,7arlystar/solana-pumpfun-bot,7arlystar__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
918715c832/solana-pumpfun-bot,918715c832__solana-pumpfun-bot.json,F1_pumpfun_clone,1,918715c83/solana-pumpfun-bot,918715c83__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
AmirhBeigi7zch6f2/solana-pumpfun-bot,AmirhBeigi7zch6f2__solana-pumpfun-bot.json,F1_pumpfun_clone,1,AmirhBeigi7zch6f/solana-pumpfun-bot,AmirhBeigi7zch6f__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
asmaamohamed026/solana-pumpfun-bot,asmaamohamed026__solana-pumpfun-bot.json,F1_pumpfun_clone,1,asmaamohamed0264/solana-pumpfun-bot,asmaamohamed0264__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
bogusyc/solana-pumpfun-bot,bogusyc__solana-pumpfun-bot.json,F1_pumpfun_clone,1,bog-us/solana-pumpfun-bot,bog-us__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
edparker8/solana-pumpfun-bot,edparker8__solana-pumpfun-bot.json,F1_pumpfun_clone,1,edparker89/solana-pumpfun-bot,edparker89__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
ii4273/solana-pumpfun-bot,ii4273__solana-pumpfun-bot.json,F1_pumpfun_clone,1,ii4272/solana-pumpfun-bot,ii4272__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
ijtye2/solana-pumpfun-bot,ijtye2__solana-pumpfun-bot.json,F1_pumpfun_clone,1,ijtye/solana-pumpfun-bot,ijtye__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
iwanjunaidst/solana-pumpfun-bot,iwanjunaidst__solana-pumpfun-bot.json,F1_pumpfun_clone,1,iwanjunaids/solana-pumpfun-bot,iwanjunaids__solana-pumpfun-bot.json,family_bootstrap_near_neighbor
adminlove5202/VulnWatchDog,adminlove5202__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocomp9/poc-CVE-2001-1473,nocomp9__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfaboyr/CVE-2025-54897-LAB,themaxlpalfaboyr__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeep/spyder-osint,Zeeeep__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeepa2/spyder-osint2,Zeeeepa2__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove5203/VulnWatchDog,adminlove5203__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocomp4/poc-CVE-2001-1473,nocomp4__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfaboyk/CVE-2025-54897-LAB,themaxlpalfaboyk__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeepa2/spyder-osint,Zeeeepa2__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeepa3/spyder-osint2,Zeeeepa3__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove52/VulnWatchDog,adminlove52__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocomps/poc-CVE-2001-1473,nocomps__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfaboy2/CVE-2025-54897-LAB,themaxlpalfaboy2__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeep2/spyder-osint,Zeeeep2__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeep/spyder-osint2,Zeeeep__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove520v/VulnWatchDog,adminlove520v__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocomp7/poc-CVE-2001-1473,nocomp7__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfabo/CVE-2025-54897-LAB,themaxlpalfabo__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeepaz/spyder-osint,Zeeeepaz__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeepa4/spyder-osint2,Zeeeepa4__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove520t/VulnWatchDog,adminlove520t__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocompf/poc-CVE-2001-1473,nocompf__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfaboy3/CVE-2025-54897-LAB,themaxlpalfaboy3__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeepa3/spyder-osint,Zeeeepa3__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeepa5/spyder-osint2,Zeeeepa5__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove520f/VulnWatchDog,adminlove520f__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocom/poc-CVE-2001-1473,nocom__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfaboy4/CVE-2025-54897-LAB,themaxlpalfaboy4__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeepa4/spyder-osint,Zeeeepa4__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeepap/spyder-osint2,Zeeeepap__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove520x/VulnWatchDog,adminlove520x__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocompa/poc-CVE-2001-1473,nocompa__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfaboy5/CVE-2025-54897-LAB,themaxlpalfaboy5__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeepaw/spyder-osint,Zeeeepaw__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeepax/spyder-osint2,Zeeeepax__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove522/VulnWatchDog,adminlove522__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocomp2/poc-CVE-2001-1473,nocomp2__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfaboy6/CVE-2025-54897-LAB,themaxlpalfaboy6__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeepa5/spyder-osint,Zeeeepa5__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeep2/spyder-osint2,Zeeeep2__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove5200/VulnWatchDog,adminlove5200__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocom2/poc-CVE-2001-1473,nocom2__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfabo2/CVE-2025-54897-LAB,themaxlpalfabo2__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeep3/spyder-osint,Zeeeep3__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeep3/spyder-osint2,Zeeeep3__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove520o/VulnWatchDog,adminlove520o__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocompb/poc-CVE-2001-1473,nocompb__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfaboy7/CVE-2025-54897-LAB,themaxlpalfaboy7__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeep4/spyder-osint,Zeeeep4__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
Zeeeepa6/spyder-osint2,Zeeeepa6__spyder-osint2.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint2,Zeeeepa__spyder-osint2.json,family_bootstrap_near_neighbor
adminlove5208/VulnWatchDog,adminlove5208__VulnWatchDog.json,F4_security_osint_cve,1,adminlove520/VulnWatchDog,adminlove520__VulnWatchDog.json,family_bootstrap_near_neighbor
nocompc/poc-CVE-2001-1473,nocompc__poc-CVE-2001-1473.json,F4_security_osint_cve,1,nocomp/poc-CVE-2001-1473,nocomp__poc-CVE-2001-1473.json,family_bootstrap_near_neighbor
themaxlpalfaboy8/CVE-2025-54897-LAB,themaxlpalfaboy8__CVE-2025-54897-LAB.json,F4_security_osint_cve,1,themaxlpalfaboy/CVE-2025-54897-LAB,themaxlpalfaboy__CVE-2025-54897-LAB.json,family_bootstrap_near_neighbor
Zeeeep5/spyder-osint,Zeeeep5__spyder-osint.json,F4_security_osint_cve,1,Zeeeepa/spyder-osint,Zeeeepa__spyder-osint.json,family_bootstrap_near_neighbor
