sample_id,label,family,repo_full_name,source_type,fold,split,prob,pred_label
neg_2013,0,NEG::yatharth1444__Token-Wallet-on-ICP-Blockchain.json,yatharth1444/Token-Wallet-on-ICP-Blockchain,real_negative,1,test,0.94261247,1
pos_262,1,F5_ai_media_demo,rizvejoarder22/SoraMax,synthetic,4,test,0.94208187,1
neg_274,0,NEG::bchainexpt__Blockchain-wallet-andorid-app.json,bchainexpt/Blockchain-wallet-andorid-app,real_negative,0,test,0.93991333,1
neg_590,0,NEG::DixDev1621__BLOCKCHAIN-DeFi-Router.json,DixDev1621/BLOCKCHAIN-DeFi-Router,real_negative,0,test,0.9394706,1
neg_952,0,NEG::jeloooooo__solidity-cryptozombies.json,jeloooooo/solidity-cryptozombies,real_negative,1,test,0.93439513,1
pos_247,1,F5_ai_media_demo,shivas1432p/sora2-watermark-remover,synthetic,4,test,0.9339146,1
neg_1797,0,NEG::Tenosia__Wallet-Multi-SDK.json,Tenosia/Wallet-Multi-SDK,real_negative,0,test,0.9324533,1
neg_2020,0,NEG::YiJie-Zhu__Crypto-Identity.json,YiJie-Zhu/Crypto-Identity,real_negative,1,test,0.93045825,1
pos_287,1,F5_ai_media_demo,shivas14321/sora2-watermark-remover,synthetic,4,test,0.92523,1
neg_526,0,NEG::daulathussain__nfts-api-starter-file.json,daulathussain/nfts-api-starter-file,real_negative,0,test,0.9202897,1
neg_123,0,NEG::akhileshthite__dtube.json,akhileshthite/dtube,real_negative,1,test,0.9105454,1
neg_1650,0,NEG::shirley2749-dunn7__ethere1.json,shirley2749-dunn7/ethere1,real_negative,0,test,0.908618,1
neg_504,0,NEG::DanielDimitrov5__NFT-Marketplace-FE.json,DanielDimitrov5/NFT-Marketplace-FE,real_negative,0,test,0.8929365,1
neg_9,0,NEG::0xDeadList__0xDeadList.json,0xDeadList/0xDeadList,real_negative,0,test,0.88563144,1
pos_251,1,F5_ai_media_demo,shivas14322/sora2-watermark-remover,synthetic,4,test,0.87578696,1
pos_258,1,F5_ai_media_demo,rizvejoarder2/SoraMax,synthetic,4,test,0.86431044,1
neg_1036,0,NEG::kheopskit__kheopskit.json,kheopskit/kheopskit,real_negative,0,test,0.86339164,1
pos_212,1,F2_crypto_trading_bot,signal-labs/polymarket-copytrading-bot-sport,synthetic,1,test,0.85195273,1
pos_294,1,F5_ai_media_demo,rizvejoarde2/SoraMax,synthetic,4,test,0.8499712,1
pos_214,1,F2_crypto_trading_bot,harshithvaddiparthy2/quant-bot,synthetic,1,test,0.84695786,1
neg_246,0,NEG::Axentro__Axentro.json,Axentro/Axentro,real_negative,3,test,0.8418256,1
neg_841,0,NEG::hobbleabbas__Bitcoin-RPC-API.json,hobbleabbas/Bitcoin-RPC-API,real_negative,3,test,0.8322367,1
pos_236,1,F2_crypto_trading_bot,copy-signal/polymarket-copytrading-bot-sport,synthetic,1,test,0.8311431,1
neg_1996,0,NEG::xPOURY4__crypto-toolkit.json,xPOURY4/crypto-toolkit,real_negative,0,test,0.8311431,1
neg_463,0,NEG::crypto-balance-checker-seed-phrases__crypto-balance-checker-seed-phrases.json,crypto-balance-checker-seed-phrases/crypto-balance-checker-seed-phrases,real_negative,3,test,0.8305941,1
pos_210,1,F2_crypto_trading_bot,harshithvaddiparthyy2/quant-bot,synthetic,1,test,0.8244619,1
pos_198,1,F2_crypto_trading_bot,harshithvaddiparthy42/quant-bot,synthetic,1,test,0.8244619,1
pos_194,1,F2_crypto_trading_bot,harshithvaddiparthy4/quant-bot,synthetic,1,test,0.81640637,1
pos_206,1,F2_crypto_trading_bot,harshithvaddiparthy/quant-bot,synthetic,1,test,0.80685264,1
pos_23,1,F1_pumpfun_clone,loveccat/solana-pumpfun-bot,original,0,test,0.7981868,1
neg_1448,0,NEG::pointbiz__bitaddress.org.json,pointbiz/bitaddress.org,real_negative,3,test,0.79755676,1
neg_432,0,NEG::Coldcard__firmware.json,Coldcard/firmware,real_negative,3,test,0.78596646,1
neg_1054,0,NEG::KOSASIH__GEE-Platform.json,KOSASIH/GEE-Platform,real_negative,3,test,0.78596646,1
pos_226,1,F2_crypto_trading_bot,harshithvaddiparthyv/quant-bot,synthetic,1,test,0.78133065,1
pos_202,1,F2_crypto_trading_bot,harshithvaddiparthyu/quant-bot,synthetic,1,test,0.7745834,1
neg_1774,0,NEG::tamago-labs__legato-finance.json,tamago-labs/legato-finance,real_negative,0,test,0.7718435,1
pos_4,1,F1_pumpfun_clone,918715c83/solana-pumpfun-bot,original,0,test,0.7666432,1
pos_238,1,F2_crypto_trading_bot,harshithvaddiparthy5/quant-bot,synthetic,1,test,0.7634837,1
pos_286,1,F5_ai_media_demo,rizvejoardern2/SoraMax,synthetic,4,test,0.7634837,1
neg_442,0,NEG::ConsenSysMesh__live-libs.json,ConsenSysMesh/live-libs,real_negative,0,test,0.7606507,1
pos_265,1,F5_ai_media_demo,Metaldadisbad4/HacxGPT,synthetic,4,test,0.7520126,1
pos_234,1,F2_crypto_trading_bot,harshithvaddiparthyt/quant-bot,synthetic,1,test,0.7490872,1
neg_69,0,NEG::AchyuthMohan__cryptogram-nmit-block-chain-.json,AchyuthMohan/cryptogram-nmit-block-chain-,real_negative,0,test,0.7424217,1
neg_859,0,NEG::hummingbot__hummingbot.json,hummingbot/hummingbot,real_negative,3,test,0.7401744,1
neg_1945,0,NEG::WalletWasabi__WalletWasabi.json,WalletWasabi/WalletWasabi,real_negative,0,test,0.73411953,1
neg_26,0,NEG::0xPleiades__switch-trade-coin.json,0xPleiades/switch-trade-coin,real_negative,4,test,0.7310586,1
neg_1523,0,NEG::RazDwa1923__ML_Pred_Crypto.json,RazDwa1923/ML_Pred_Crypto,real_negative,1,test,0.7279754,1
neg_422,0,NEG::coderasha__NFT-Marketplace--EThereum-Polygon.json,coderasha/NFT-Marketplace--EThereum-Polygon,real_negative,0,test,0.7248703,1
pos_1,1,F1_pumpfun_clone,2kwkkk/solana-pumpfun-bot,original,0,test,0.72056496,1
neg_1169,0,NEG::Mattjhagen__P3-Lending.json,Mattjhagen/P3-Lending,real_negative,0,test,0.71977776,1
pos_222,1,F2_crypto_trading_bot,harshithvaddiparthy32/quant-bot,synthetic,1,test,0.715424,1
pos_40,1,F1_pumpfun_clone,xnaotutu77765/solana-pumpfun-bot,original,0,test,0.7150262,1
neg_1175,0,NEG::mchtter__zku-web3.json,mchtter/zku-web3,real_negative,3,test,0.71383077,1
pos_200,1,F2_crypto_trading_bot,dex-trade/polymarket-copytrading-bot-sport,synthetic,1,test,0.7106283,1
pos_74,1,F1_pumpfun_clone,AmirhBeigi7zch6f2/solana-pumpfun-bot,synthetic,0,test,0.7102265,1
neg_1085,0,NEG::lbryio__lbry-android.json,lbryio/lbry-android,real_negative,0,test,0.70089483,1
neg_914,0,NEG::Jackhuang166__chess-smart-contract.json,Jackhuang166/chess-smart-contract,real_negative,3,test,0.6992544,1
pos_281,1,F5_ai_media_demo,Metaldadisbad6/HacxGPT,synthetic,4,test,0.6959583,1
