sample_id,label,family,repo_full_name,source_type,fold,split,prob,pred_label,error_type
pos_74,1,F1_pumpfun_clone,AmirhBeigi7zch6f2/solana-pumpfun-bot,synthetic,0,test,0.7102265,1,correct
pos_75,1,F1_pumpfun_clone,asmaamohamed026/solana-pumpfun-bot,synthetic,0,test,0.060307633,1,correct
pos_76,1,F1_pumpfun_clone,bogusyc/solana-pumpfun-bot,synthetic,0,test,0.040237945,1,correct
pos_77,1,F1_pumpfun_clone,edparker8/solana-pumpfun-bot,synthetic,0,test,0.1710612,1,correct
pos_78,1,F1_pumpfun_clone,ii4273/solana-pumpfun-bot,synthetic,0,test,0.050705362,1,correct
pos_79,1,F1_pumpfun_clone,ijtye2/solana-pumpfun-bot,synthetic,0,test,0.39420095,1,correct
pos_80,1,F1_pumpfun_clone,iwanjunaidst/solana-pumpfun-bot,synthetic,0,test,0.15817435,1,correct
neg_2,0,NEG::0ryX__Blockchain-Miner.json,0ryX/Blockchain-Miner,real_negative,0,test,0.00039204178,0,correct
neg_5,0,NEG::0x4543__zeta-crypto.json,0x4543/zeta-crypto,real_negative,0,test,0.9759464,1,false_positive
neg_9,0,NEG::0xDeadList__0xDeadList.json,0xDeadList/0xDeadList,real_negative,0,test,0.88563144,1,false_positive
neg_15,0,NEG::0xGval__evm-mcp-tools.json,0xGval/evm-mcp-tools,real_negative,0,test,0.19193278,1,false_positive
neg_17,0,NEG::0xinevitable__bento.json,0xinevitable/bento,real_negative,0,test,0.05921025,1,false_positive
neg_19,0,NEG::0xJonaseb11__Meta-suite.json,0xJonaseb11/Meta-suite,real_negative,0,test,0.05439932,1,false_positive
neg_28,0,NEG::0xRajkumar__damn-vulnerable-defi-solutions.json,0xRajkumar/damn-vulnerable-defi-solutions,real_negative,0,test,0.003707253,0,correct
neg_30,0,NEG::0xTaoDev__Wallet-Trades-Tracker.json,0xTaoDev/Wallet-Trades-Tracker,real_negative,0,test,4.936989e-06,0,correct
neg_33,0,NEG::1-5Pool__RansomwareEschrowService.json,1-5Pool/RansomwareEschrowService,real_negative,0,test,0.22405545,1,false_positive
neg_38,0,NEG::1Crazymoney__ethNearMarketplace.json,1Crazymoney/ethNearMarketplace,real_negative,0,test,0.0017546144,0,correct
neg_39,0,NEG::1poolfinance__1Pool-Strategy.json,1poolfinance/1Pool-Strategy,real_negative,0,test,5.1442214e-05,0,correct
neg_47,0,NEG::914alexwillett__StochRSI-Crypto-Trading-Algorithm.json,914alexwillett/StochRSI-Crypto-Trading-Algorithm,real_negative,0,test,0.011508149,0,correct
neg_48,0,NEG::94929__rock-paper-scissors.json,94929/rock-paper-scissors,real_negative,0,test,0.0010817152,0,correct
neg_62,0,NEG::abhi-rawal__aave_credit_scoring.json,abhi-rawal/aave_credit_scoring,real_negative,0,test,0.00012731104,0,correct
neg_65,0,NEG::AbushakerJamil__Hardhat-Test.json,AbushakerJamil/Hardhat-Test,real_negative,0,test,5.1442214e-05,0,correct
neg_69,0,NEG::AchyuthMohan__cryptogram-nmit-block-chain-.json,AchyuthMohan/cryptogram-nmit-block-chain-,real_negative,0,test,0.7424217,1,false_positive
neg_70,0,NEG::ACINQ__phoenix.json,ACINQ/phoenix,real_negative,0,test,0.078078166,1,false_positive
neg_78,0,NEG::adhithim09__Dsurv---Crypto_Token.json,adhithim09/Dsurv---Crypto_Token,real_negative,0,test,0.6513549,1,false_positive
neg_83,0,NEG::adrianhajdin__project_crowdfunding.json,adrianhajdin/project_crowdfunding,real_negative,0,test,5.225227e-05,0,correct
neg_93,0,NEG::adwait2001__Mint-NFT.json,adwait2001/Mint-NFT,real_negative,0,test,0.00036829791,0,correct
neg_96,0,NEG::aeternity__aeternity.json,aeternity/aeternity,real_negative,0,test,0.001867566,0,correct
neg_98,0,NEG::afroze93__smart-contract-1.json,afroze93/smart-contract-1,real_negative,0,test,0.0031974867,0,correct
neg_103,0,NEG::aha-moment-group__wallet.json,aha-moment-group/wallet,real_negative,0,test,9.915273e-05,0,correct
neg_107,0,NEG::ahmedali8__hardhat-ts-template.json,ahmedali8/hardhat-ts-template,real_negative,0,test,0.0025509126,0,correct
neg_110,0,NEG::ahmetzturk__epic-nfts.json,ahmetzturk/epic-nfts,real_negative,0,test,4.264747e-05,0,correct
neg_112,0,NEG::aidear3__smart-contracts.json,aidear3/smart-contracts,real_negative,0,test,0.0050998176,0,correct
neg_115,0,NEG::AiKay96__Bitcoin-Wallet.json,AiKay96/Bitcoin-Wallet,real_negative,0,test,0.64779824,1,false_positive
neg_119,0,NEG::Ajitabh-Kalia__Ethereum-Wallet.json,Ajitabh-Kalia/Ethereum-Wallet,real_negative,0,test,0.008916127,0,correct
neg_129,0,NEG::alanpelayoo__FatedEth.json,alanpelayoo/FatedEth,real_negative,0,test,0.00030061635,0,correct
neg_130,0,NEG::alebeta06__chainlink-bootcampES-2024.json,alebeta06/chainlink-bootcampES-2024,real_negative,0,test,0.0007495314,0,correct
neg_132,0,NEG::alejoacosta74__ethereum-erc20token-vault.json,alejoacosta74/ethereum-erc20token-vault,real_negative,0,test,0.00034599163,0,correct
neg_136,0,NEG::alesanro__ethereum-smart-contracts.json,alesanro/ethereum-smart-contracts,real_negative,0,test,0.00031258783,0,correct
neg_143,0,NEG::AlexNa-Holdings__web3pro.json,AlexNa-Holdings/web3pro,real_negative,0,test,0.18126322,1,false_positive
neg_147,0,NEG::alice-si__contracts.json,alice-si/contracts,real_negative,0,test,0.21733752,1,false_positive
neg_168,0,NEG::amonrak__rustychain.json,amonrak/rustychain,real_negative,0,test,0.00016603847,0,correct
neg_170,0,NEG::amurto__cryptoludo.json,amurto/cryptoludo,real_negative,0,test,0.22541662,1,false_positive
neg_171,0,NEG::An4Dev__Solana-Bitcoin-NFT-Dex-Defi-P2EGame-SmartContract-Web3-Projects.json,An4Dev/Solana-Bitcoin-NFT-Dex-Defi-P2EGame-SmartContract-Web3-Projects,real_negative,0,test,0.008694534,0,correct
neg_178,0,NEG::andrewinsoul__CadenaCourse-CryptoBank-UI.json,andrewinsoul/CadenaCourse-CryptoBank-UI,real_negative,0,test,0.0024726235,0,correct
neg_181,0,NEG::Aniket-Engg__sol-profiler-vscode.json,Aniket-Engg/sol-profiler-vscode,real_negative,0,test,0.01461567,0,correct
neg_183,0,NEG::AnnaNX1__create-NFT.json,AnnaNX1/create-NFT,real_negative,0,test,0.0016743994,0,correct
neg_188,0,NEG::AntoineBastide47__Blockchain.json,AntoineBastide47/Blockchain,real_negative,0,test,0.0018530595,0,correct
neg_195,0,NEG::aonemd__stakehouse.json,aonemd/stakehouse,real_negative,0,test,0.0032730647,0,correct
neg_202,0,NEG::ApeWorX__evm-trace.json,ApeWorX/evm-trace,real_negative,0,test,0.15817435,1,false_positive
neg_220,0,NEG::ArshS1__sengh-nft.json,ArshS1/sengh-nft,real_negative,0,test,0.00039821307,0,correct
neg_221,0,NEG::artem-bayandin__blockchain-samples.json,artem-bayandin/blockchain-samples,real_negative,0,test,0.0006070755,0,correct
neg_222,0,NEG::arthur-reedy460y__web3cha.json,arthur-reedy460y/web3cha,real_negative,0,test,2.3923509e-05,0,correct
neg_225,0,NEG::arthuravianna__uff-web3-course.json,arthuravianna/uff-web3-course,real_negative,0,test,0.00021995336,0,correct
neg_227,0,NEG::Aryan0770__Blockchain-Major-CryptoBox.json,Aryan0770/Blockchain-Major-CryptoBox,real_negative,0,test,0.0061450917,0,correct
neg_231,0,NEG::ashelkovnykov__offline-wallet-generator.json,ashelkovnykov/offline-wallet-generator,real_negative,0,test,0.105948284,1,false_positive
neg_235,0,NEG::asilveira1969__bitcoincashblockchain.json,asilveira1969/bitcoincashblockchain,real_negative,0,test,5.649793e-05,0,correct
neg_242,0,NEG::aurowallet__auro-wallet-browser-extension.json,aurowallet/auro-wallet-browser-extension,real_negative,0,test,0.6757646,1,false_positive
neg_244,0,NEG::Autosaida__DeFiHackAnalysis.json,Autosaida/DeFiHackAnalysis,real_negative,0,test,0.009936419,0,correct
neg_251,0,NEG::Aytaditya__NFT_Staking_app.json,Aytaditya/NFT_Staking_app,real_negative,0,test,0.0051797125,0,correct
neg_254,0,NEG::azerpas__Crypto2discord.json,azerpas/Crypto2discord,real_negative,0,test,0.68763,1,false_positive
neg_259,0,NEG::BadakalaYashwanth__Web-3Cryptocurrency-Wallet-Generator-Blockchain.json,BadakalaYashwanth/Web-3Cryptocurrency-Wallet-Generator-Blockchain,real_negative,0,test,0.0050211498,0,correct
neg_271,0,NEG::batteringram-dev__Web3.json,batteringram-dev/Web3,real_negative,0,test,2.586743e-05,0,correct
neg_274,0,NEG::bchainexpt__Blockchain-wallet-andorid-app.json,bchainexpt/Blockchain-wallet-andorid-app,real_negative,0,test,0.93991333,1,false_positive
neg_276,0,NEG::BeanstalkFarms__Basin.json,BeanstalkFarms/Basin,real_negative,0,test,0.00048029723,0,correct
neg_285,0,NEG::BertrandConxy__Lottery.json,BertrandConxy/Lottery,real_negative,0,test,0.11279541,1,false_positive
neg_290,0,NEG::bhemen__usdc.json,bhemen/usdc,real_negative,0,test,0.0021489493,0,correct
neg_294,0,NEG::bigbomio__digital-contracts.json,bigbomio/digital-contracts,real_negative,0,test,0.0001634647,0,correct
neg_302,0,NEG::Bitcoin-II__BitcoinII-Core.json,Bitcoin-II/BitcoinII-Core,real_negative,0,test,0.06008665,1,false_positive
neg_306,0,NEG::bitpay__wallet.json,bitpay/wallet,real_negative,0,test,0.004297939,0,correct
neg_307,0,NEG::BitPortal__bitportal-client.json,BitPortal/bitportal-client,real_negative,0,test,0.03384404,1,false_positive
neg_308,0,NEG::bitquery__explorer.json,bitquery/explorer,real_negative,0,test,0.0029810332,0,correct
neg_311,0,NEG::blackalbino01__epic-nfts-ui.json,blackalbino01/epic-nfts-ui,real_negative,0,test,0.0015011822,0,correct
neg_322,0,NEG::blockchain__blockchain-wallet-v4-frontend.json,blockchain/blockchain-wallet-v4-frontend,real_negative,0,test,0.037892424,1,false_positive
neg_326,0,NEG::bloomwalletio__bloom.json,bloomwalletio/bloom,real_negative,0,test,0.0064882697,0,correct
neg_327,0,NEG::Blueforce99__web3-bubble-portfolio.json,Blueforce99/web3-bubble-portfolio,real_negative,0,test,0.0001088969,0,correct
neg_328,0,NEG::BlueWallet__BlueWallet.json,BlueWallet/BlueWallet,real_negative,0,test,0.0038844768,0,correct
neg_334,0,NEG::bostonlink__blockexplorer.json,bostonlink/blockexplorer,real_negative,0,test,0.00015598026,0,correct
neg_343,0,NEG::brlojam4932__usdc-app.json,brlojam4932/usdc-app,real_negative,0,test,0.0005033356,0,correct
neg_347,0,NEG::btcsuite__btcwallet.json,btcsuite/btcwallet,real_negative,0,test,0.0017007225,0,correct
neg_348,0,NEG::BTCwalletGen__BTCwalletGen.json,BTCwalletGen/BTCwalletGen,real_negative,0,test,7.031184e-05,0,correct
neg_362,0,NEG::cake-tech__cake_wallet.json,cake-tech/cake_wallet,real_negative,0,test,0.007345827,0,correct
neg_370,0,NEG::carmenbickel__NFT-Collection.json,carmenbickel/NFT-Collection,real_negative,0,test,8.7503e-05,0,correct
neg_375,0,NEG::celer-network__layer2-finance-contracts.json,celer-network/layer2-finance-contracts,real_negative,0,test,0.026556572,1,false_positive
neg_378,0,NEG::chainapsis__keplr-wallet.json,chainapsis/keplr-wallet,real_negative,0,test,0.029760094,1,false_positive
neg_388,0,NEG::chatch__hashed-timelock-contract-ethereum.json,chatch/hashed-timelock-contract-ethereum,real_negative,0,test,0.14414886,1,false_positive
neg_391,0,NEG::chellscript__bitLeaf.json,chellscript/bitLeaf,real_negative,0,test,0.02517884,1,false_positive
neg_393,0,NEG::cherylwilson314__web3py_crypto.json,cherylwilson314/web3py_crypto,real_negative,0,test,0.00034062934,0,correct
neg_395,0,NEG::Chirag21__CryptoZombies-solidity-v0.8.16.json,Chirag21/CryptoZombies-solidity-v0.8.16,real_negative,0,test,0.00025315638,0,correct
neg_396,0,NEG::chjj__mako.json,chjj/mako,real_negative,0,test,0.0030753699,0,correct
neg_399,0,NEG::ChocoChichia__bitcoin-wallet.json,ChocoChichia/bitcoin-wallet,real_negative,0,test,0.000115919334,0,correct
neg_409,0,NEG::cliffhall__in-app-pro-shop.json,cliffhall/in-app-pro-shop,real_negative,0,test,0.018905448,1,false_positive
neg_415,0,NEG::coccoinomane__crabada.py.json,coccoinomane/crabada.py,real_negative,0,test,0.040237945,1,false_positive
neg_422,0,NEG::coderasha__NFT-Marketplace--EThereum-Polygon.json,coderasha/NFT-Marketplace--EThereum-Polygon,real_negative,0,test,0.7248703,1,false_positive
neg_424,0,NEG::codewithmide__FlowPrice-Oracle.json,codewithmide/FlowPrice-Oracle,real_negative,0,test,0.01048909,0,correct
neg_425,0,NEG::codex-protocol__service.eel.json,codex-protocol/service.eel,real_negative,0,test,0.03410043,1,false_positive
neg_428,0,NEG::coin-worx__ethereum-voting-demo.json,coin-worx/ethereum-voting-demo,real_negative,0,test,0.04885778,1,false_positive
neg_442,0,NEG::ConsenSysMesh__live-libs.json,ConsenSysMesh/live-libs,real_negative,0,test,0.7606507,1,false_positive
neg_444,0,NEG::Consensys__eth-lightwallet.json,Consensys/eth-lightwallet,real_negative,0,test,0.004943689,0,correct
neg_448,0,NEG::cosmostation__cosmostation-android.json,cosmostation/cosmostation-android,real_negative,0,test,0.012624948,0,correct
neg_454,0,NEG::Cr0mb__Crypto-Sweeper.json,Cr0mb/Crypto-Sweeper,real_negative,0,test,0.0015487612,0,correct
neg_465,0,NEG::crypto-crawler__crypto-ohlcv.json,crypto-crawler/crypto-ohlcv,real_negative,0,test,0.007937994,0,correct
neg_466,0,NEG::crypto-org-chain__cronos.json,crypto-org-chain/cronos,real_negative,0,test,0.20689406,1,false_positive
neg_470,0,NEG::CryptoApex23__mnemonic-balance-checker.json,CryptoApex23/mnemonic-balance-checker,real_negative,0,test,0.0053432565,0,correct
neg_471,0,NEG::cryptococks-xyz__cryptococks-contract.json,cryptococks-xyz/cryptococks-contract,real_negative,0,test,0.019124037,1,false_positive
neg_472,0,NEG::CryptoCreams__Crypto-Creams.json,CryptoCreams/Crypto-Creams,real_negative,0,test,0.56985265,1,false_positive
neg_482,0,NEG::cryptosguru__nft_terra_cosmwasm.json,cryptosguru/nft_terra_cosmwasm,real_negative,0,test,0.0002959571,0,correct
neg_489,0,NEG::cyforge__Orbis-Wallet.json,cyforge/Orbis-Wallet,real_negative,0,test,0.4130036,1,false_positive
neg_491,0,NEG::cypherpunk-symposium__web3-starter-rs.json,cypherpunk-symposium/web3-starter-rs,real_negative,0,test,0.00085590064,0,correct
neg_501,0,NEG::Daltonic__dappFundsX.json,Daltonic/dappFundsX,real_negative,0,test,0.284576,1,false_positive
neg_502,0,NEG::Damian-Sanchez__CryptoTextAlert.json,Damian-Sanchez/CryptoTextAlert,real_negative,0,test,0.024053553,1,false_positive
neg_504,0,NEG::DanielDimitrov5__NFT-Marketplace-FE.json,DanielDimitrov5/NFT-Marketplace-FE,real_negative,0,test,0.8929365,1,false_positive
neg_505,0,NEG::danieltantonio__SharedWallet_Solidity.json,danieltantonio/SharedWallet_Solidity,real_negative,0,test,1.2219075e-05,0,correct
neg_506,0,NEG::danielwpz__nft-linkdrop.json,danielwpz/nft-linkdrop,real_negative,0,test,0.0040385914,0,correct
neg_510,0,NEG::dante4rt__t3rn-airdrop-bot.json,dante4rt/t3rn-airdrop-bot,real_negative,0,test,0.06008665,1,false_positive
neg_513,0,NEG::dappforce__polkaverse.json,dappforce/polkaverse,real_negative,0,test,0.07585818,1,false_positive
neg_515,0,NEG::DappioLab__navigator.json,DappioLab/navigator,real_negative,0,test,0.02211659,1,false_positive
neg_520,0,NEG::dariocast__algorand-nft-loan.json,dariocast/algorand-nft-loan,real_negative,0,test,0.14223188,1,false_positive
neg_524,0,NEG::datmedevil17__hack-web3conf.json,datmedevil17/hack-web3conf,real_negative,0,test,0.12852514,1,false_positive
neg_526,0,NEG::daulathussain__nfts-api-starter-file.json,daulathussain/nfts-api-starter-file,real_negative,0,test,0.9202897,1,false_positive
neg_527,0,NEG::davdotsol__react-and-web3-demo-app.json,davdotsol/react-and-web3-demo-app,real_negative,0,test,0.00029137006,0,correct
neg_528,0,NEG::davdotsol__uniswap-v2-defi-app.json,davdotsol/uniswap-v2-defi-app,real_negative,0,test,0.012241275,0,correct
neg_534,0,NEG::decentralized-identity__element.json,decentralized-identity/element,real_negative,0,test,0.0075772414,0,correct
neg_542,0,NEG::DeFiCh__defiscan.live.json,DeFiCh/defiscan.live,real_negative,0,test,0.17217186,1,false_positive
neg_557,0,NEG::DePayFi__depay-claimable-nft-airdrops.json,DePayFi/depay-claimable-nft-airdrops,real_negative,0,test,0.005220126,0,correct
neg_558,0,NEG::DePayFi__web3-wallets.json,DePayFi/web3-wallets,real_negative,0,test,0.031499382,1,false_positive
neg_563,0,NEG::deusfinance__deus-interface-v2.json,deusfinance/deus-interface-v2,real_negative,0,test,0.0028009268,0,correct
neg_571,0,NEG::devridge0__aave-core.json,devridge0/aave-core,real_negative,0,test,0.001264422,0,correct
neg_580,0,NEG::dhiraj0911__defi-uniswap.json,dhiraj0911/defi-uniswap,real_negative,0,test,0.00030061635,0,correct
neg_590,0,NEG::DixDev1621__BLOCKCHAIN-DeFi-Router.json,DixDev1621/BLOCKCHAIN-DeFi-Router,real_negative,0,test,0.9394706,1,false_positive
neg_599,0,NEG::domechn__track3.json,domechn/track3,real_negative,0,test,0.092687786,1,false_positive
neg_622,0,NEG::edubrunaldi__generic-wallet.json,edubrunaldi/generic-wallet,real_negative,0,test,0.057493284,1,false_positive
neg_623,0,NEG::educoin__notarypoc.json,educoin/notarypoc,real_negative,0,test,0.00030534895,0,correct
neg_626,0,NEG::eka0789__nft-marketplace.json,eka0789/nft-marketplace,real_negative,0,test,0.0039454065,0,correct
neg_630,0,NEG::elkoutwest__bitcoin_browser.json,elkoutwest/bitcoin_browser,real_negative,0,test,0.00016865275,0,correct
neg_631,0,NEG::Elmanilov__CastClaim.json,Elmanilov/CastClaim,real_negative,0,test,4.664451e-07,0,correct
neg_642,0,NEG::Emmahchinonso__web3-bridge-contract.json,Emmahchinonso/web3-bridge-contract,real_negative,0,test,0.0061450917,0,correct
neg_657,0,NEG::eprbell__dali-rp2.json,eprbell/dali-rp2,real_negative,0,test,0.028220987,1,false_positive
neg_658,0,NEG::eprbell__rp2.json,eprbell/rp2,real_negative,0,test,0.06608538,1,false_positive
neg_661,0,NEG::Erfaniaa__crypto-portfolio-optimizer.json,Erfaniaa/crypto-portfolio-optimizer,real_negative,0,test,0.07751766,1,false_positive
neg_669,0,NEG::EthereumCommonwealth__Auditing.json,EthereumCommonwealth/Auditing,real_negative,0,test,0.00577493,0,correct
neg_670,0,NEG::EthereumCommonwealth__multi-geth.json,EthereumCommonwealth/multi-geth,real_negative,0,test,0.044514425,1,false_positive
neg_676,0,NEG::euphonious-raisinnutcookie575__ethwizc.json,euphonious-raisinnutcookie575/ethwizc,real_negative,0,test,0.012455653,0,correct
neg_682,0,NEG::evm-tooling__viem-go.json,evm-tooling/viem-go,real_negative,0,test,0.0034564096,0,correct
neg_689,0,NEG::Expandergraph__crypto-crawler.json,Expandergraph/crypto-crawler,real_negative,0,test,8.220189e-05,0,correct
neg_693,0,NEG::fabianorodrigo__defiamm.json,fabianorodrigo/defiamm,real_negative,0,test,0.00048029723,0,correct
neg_694,0,NEG::Fabischu2008__Vinechain.json,Fabischu2008/Vinechain,real_negative,0,test,0.19436781,1,false_positive
neg_702,0,NEG::Faouzijedidi1__NFT-Game.json,Faouzijedidi1/NFT-Game,real_negative,0,test,0.009898064,0,correct
neg_706,0,NEG::FazioNico__meta-gotchi.json,FazioNico/meta-gotchi,real_negative,0,test,0.10230471,1,false_positive
neg_721,0,NEG::flexa__collateral-manager.json,flexa/collateral-manager,real_negative,0,test,0.0057302467,0,correct
neg_724,0,NEG::ForcingVaporizer__Blockchain-Dapp-Crypto.json,ForcingVaporizer/Blockchain-Dapp-Crypto,real_negative,0,test,0.0002415663,0,correct
neg_725,0,NEG::Formyselfonly__smart-contract-quickstart.json,Formyselfonly/smart-contract-quickstart,real_negative,0,test,2.2827997e-05,0,correct
neg_727,0,NEG::forward0507__Dexordi-BE.json,forward0507/Dexordi-BE,real_negative,0,test,0.013121271,0,correct
neg_743,0,NEG::fxop0218__DEFI-aave-JS-Solidity.json,fxop0218/DEFI-aave-JS-Solidity,real_negative,0,test,0.0011695102,0,correct
neg_744,0,NEG::gabidi__bismuth-js-crypto.json,gabidi/bismuth-js-crypto,real_negative,0,test,6.402007e-05,0,correct
neg_748,0,NEG::gauryvg98__Bitcoin-Indexer.json,gauryvg98/Bitcoin-Indexer,real_negative,0,test,0.05582314,1,false_positive
neg_754,0,NEG::geovgy__smart-wallet.json,geovgy/smart-wallet,real_negative,0,test,0.004264634,0,correct
neg_755,0,NEG::geraldoramos__crypto-bar.json,geraldoramos/crypto-bar,real_negative,0,test,0.05910154,1,false_positive
neg_757,0,NEG::getsafle__safle-identity-wallet.json,getsafle/safle-identity-wallet,real_negative,0,test,0.22815649,1,false_positive
neg_764,0,NEG::gizdusum__hermes-blockchain-oracle.json,gizdusum/hermes-blockchain-oracle,real_negative,0,test,0.00037702857,0,correct
neg_770,0,NEG::gnidan__abi-to-sol.json,gnidan/abi-to-sol,real_negative,0,test,0.008124709,0,correct
neg_771,0,NEG::gnosis__reth-util.json,gnosis/reth-util,real_negative,0,test,0.004198795,0,correct
neg_776,0,NEG::GoodDollar__GoodDAPP.json,GoodDollar/GoodDAPP,real_negative,0,test,0.025957355,1,false_positive
neg_797,0,NEG::ha-bhai-noob-hoon__Solidity-task.json,ha-bhai-noob-hoon/Solidity-task,real_negative,0,test,3.883111e-05,0,correct
