feature,importance
readme_has_block_explorer_link,0.0
readme_has_contract_address,0.0
readme_has_install_run_commands,0.0
readme_has_sensitive_request_keywords,0.0
readme_has_wallet_connect_keywords,0.0
repo_archived,0.0
repo_disabled,0.0
repo_name_has_brand_keyword,0.0
repo_name_length,0.0
risk_filename_count,0.0
risky_keyword_count,0.0
security_trust_keyword_count,0.0
solidity_file_count,0.0
text_for_tfidf_clean_len,0.0
text_for_tfidf_raw_len,0.0
token_standard_keyword_count,0.0
top_level_dir_count,0.0
topics_clean_len,0.0
topics_raw_len,0.0
user_age_days,0.0
user_blog_domain_in_external_domains,0.0
user_blog_matches_homepage_domain,0.0
user_login_entropy,0.0
user_login_length,0.0
user_name_matches_login,0.0
user_profile_completeness,0.0
user_type_is_org,0.0
very_short_activity_window_flag,0.0
visibility_is_public,0.0
vyper_file_count,0.0
wallet_frontend_risk_combo_flag,0.0
wallet_keyword_count,0.0
watchers_count,0.0
tfidf::abi,0.0
tfidf::access,0.0
tfidf::account,0.0
tfidf::accounts,0.0
tfidf::add,0.0
tfidf::address,0.0
tfidf::addresses,0.0
tfidf::admin,0.0
tfidf::advanced,0.0
tfidf::agent,0.0
tfidf::agents,0.0
tfidf::ai,0.0
tfidf::ai agent,0.0
tfidf::alerts,0.0
tfidf::allows,0.0
tfidf::analytics,0.0
tfidf::api,0.0
tfidf::api key,0.0
tfidf::apis,0.0
tfidf::application,0.0
tfidf::applications,0.0
tfidf::asset,0.0
tfidf::assets,0.0
tfidf::audit,0.0
tfidf::auto,0.0
tfidf::auto sell,0.0
tfidf::automatically,0.0
tfidf::available,0.0
tfidf::await,0.0
tfidf::backend,0.0
tfidf::backup,0.0
tfidf::balance,0.0
tfidf::base,0.0
tfidf::based,0.0
tfidf::bash,0.0
tfidf::bash npm,0.0
tfidf::basic,0.0
tfidf::best,0.0
tfidf::binary,0.0
tfidf::block,0.0
tfidf::blockchains,0.0
tfidf::bot,0.0
tfidf::branch,0.0
tfidf::browser,0.0
tfidf::btc,0.0
tfidf::build,0.0
tfidf::building,0.0
tfidf::built,0.0
tfidf::burn,0.0
tfidf::button,0.0
tfidf::bytes,0.0
tfidf::cache,0.0
tfidf::case,0.0
tfidf::cash,0.0
tfidf::certified,0.0
tfidf::chain,0.0
tfidf::chains,0.0
tfidf::change,0.0
tfidf::changes,0.0
tfidf::clean,0.0
tfidf::cli,0.0
tfidf::click,0.0
tfidf::client,0.0
tfidf::clone,0.0
tfidf::clone cd,0.0
tfidf::coin,0.0
tfidf::collection,0.0
tfidf::command,0.0
tfidf::commands,0.0
tfidf::common,0.0
tfidf::community,0.0
tfidf::compile,0.0
tfidf::complete,0.0
tfidf::components,0.0
tfidf::comprehensive,0.0
tfidf::config,0.0
tfidf::configuration,0.0
tfidf::configure,0.0
tfidf::connect,0.0
tfidf::console,0.0
tfidf::const,0.0
tfidf::contact,0.0
tfidf::contains,0.0
tfidf::content,0.0
tfidf::contributing,0.0
tfidf::contributions,0.0
tfidf::control,0.0
tfidf::copy,0.0
tfidf::core,0.0
tfidf::coverage,0.0
tfidf::create new,0.0
tfidf::created,0.0
tfidf::crypto,0.0
tfidf::cryptocurrency,0.0
tfidf::curl,0.0
tfidf::current,0.0
tfidf::custom,0.0
tfidf::dao,0.0
tfidf::dapp,0.0
tfidf::dashboard,0.0
tfidf::data,0.0
tfidf::database,0.0
tfidf::db,0.0
tfidf::decentralized,0.0
tfidf::default,0.0
tfidf::demo,0.0
tfidf::dependencies,0.0
tfidf::deployed,0.0
tfidf::deployment,0.0
tfidf::deposit,0.0
tfidf::description,0.0
tfidf::design,0.0
tfidf::designed,0.0
tfidf::detailed,0.0
tfidf::details,0.0
tfidf::detection,0.0
tfidf::dev,0.0
tfidf::developer,0.0
tfidf::developers,0.0
tfidf::development,0.0
tfidf::different,0.0
tfidf::digital,0.0
tfidf::directly,0.0
tfidf::directory,0.0
tfidf::discord,0.0
tfidf::discovery,0.0
tfidf::docker,0.0
tfidf::docs,0.0
tfidf::documentation,0.0
tfidf::don,0.0
tfidf::download,0.0
tfidf::e.g,0.0
tfidf::ecosystem,0.0
tfidf::enable,0.0
tfidf::end,0.0
tfidf::end subgraph,0.0
tfidf::endpoint,0.0
tfidf::ensure,0.0
tfidf::env,0.0
tfidf::env file,0.0
tfidf::environment,0.0
tfidf::erc20,0.0
tfidf::err,0.0
tfidf::error,0.0
tfidf::eth,0.0
tfidf::event,0.0
tfidf::events,0.0
tfidf::example,0.0
tfidf::examples,0.0
tfidf::exchange,0.0
tfidf::execute,0.0
tfidf::execution,0.0
tfidf::export,0.0
tfidf::extension,0.0
tfidf::external,0.0
tfidf::false,0.0
tfidf::fast,0.0
tfidf::feature,0.0
tfidf::fee,0.0
tfidf::feedback,0.0
tfidf::fees,0.0
tfidf::filter,0.0
tfidf::finance,0.0
tfidf::financial,0.0
tfidf::fix,0.0
tfidf::flow,0.0
tfidf::folder,0.0
tfidf::follow,0.0
tfidf::following,0.0
tfidf::format,0.0
tfidf::framework,0.0
tfidf::frontend,0.0
tfidf::function,0.0
tfidf::functionality,0.0
tfidf::functions,0.0
tfidf::funds,0.0
tfidf::future,0.0
tfidf::fuzzing,0.0
tfidf::game,0.0
tfidf::gas,0.0
tfidf::generate,0.0
tfidf::generated,0.0
tfidf::generation,0.0
tfidf::getting,0.0
tfidf::getting started,0.0
tfidf::git,0.0
tfidf::git clone,0.0
tfidf::governance,0.0
binary_download_lure_combo_flag,0.0
tfidf::guide,0.0
tfidf::hardhat,0.0
tfidf::hash,0.0
tfidf::health,0.0
tfidf::helius,0.0
tfidf::help,0.0
tfidf::history,0.0
tfidf::id,0.0
tfidf::image,0.0
tfidf::implementation,0.0
tfidf::import,0.0
tfidf::important,0.0
tfidf::used,0.0
tfidf::info,0.0
tfidf::information,0.0
tfidf::infrastructure,0.0
tfidf::input,0.0
description_has_contract_address,0.0
tfidf::vs,0.0
tfidf::installation,0.0
tfidf::installed,0.0
tfidf::instructions,0.0
tfidf::integration,0.0
combined_clean_len,0.0
tfidf::interface,0.0
tfidf::ipfs,0.0
tfidf::issue,0.0
tfidf::issues,0.0
tfidf::it,0.0
tfidf::javascript,0.0
tfidf::js,0.0
tfidf::json,0.0
tfidf::just,0.0
contract_test_ratio,0.0
tfidf::keys,0.0
tfidf::language,0.0
tfidf::latest,0.0
default_branch_is_main,0.0
tfidf::layer,0.0
tfidf::learn,0.0
tfidf::learning,0.0
tfidf::let,0.0
tfidf::level,0.0
tfidf::library,0.0
tfidf::license,0.0
tfidf::like,0.0
tfidf::limit,0.0
tfidf::line,0.0
tfidf::link,0.0
tfidf::linux,0.0
tfidf::liquidity,0.0
tfidf::list,0.0
tfidf::listed,0.0
tfidf::live,0.0
default_branch_is_master,0.0
desc_unique_domain_count,0.0
tfidf::lock,0.0
tfidf::log,0.0
tfidf::logic,0.0
tfidf::loss,0.0
tfidf::machine,0.0
tfidf::main,0.0
tfidf::mainnet,0.0
desc_url_count,0.0
description_has_block_explorer_link,0.0
tfidf::manage,0.0
tfidf::yarn,0.0
description_has_download_lure_keyword,0.0
tfidf::marketplace,0.0
tfidf::markets,0.0
description_has_risky_keyword,0.0
tfidf::maximum,0.0
tfidf::means,0.0
docs_related_file_count,0.0
tfidf::memory,0.0
tfidf::message,0.0
tfidf::metadata,0.0
tfidf::metamask,0.0
tfidf::method,0.0
tfidf::methods,0.0
tfidf::metrics,0.0
tfidf::min,0.0
tfidf::minimum,0.0
tfidf::mint,0.0
download_lure_keyword_count,0.0
tfidf::mit license,0.0
tfidf::mmdrza.com,0.0
tfidf::mmdrza.com mmdrza.com,0.0
tfidf::mnemonic,0.0
tfidf::mobile,0.0
tfidf::mode,0.0
tfidf::model,0.0
tfidf::monitor,0.0
tfidf::monitoring,0.0
tfidf::multiple,0.0
tfidf::native,0.0
tfidf::need,0.0
tfidf::needed,0.0
executable_file_count,0.0
tfidf::networks,0.0
explorer_domain_count,0.0
tfidf::news,0.0
tfidf::next.js,0.0
tfidf::nft,0.0
tfidf::nfts,0.0
tfidf::node,0.0
tfidf::node.js,0.0
tfidf::note,0.0
tfidf::npm,0.0
tfidf::npm install,0.0
tfidf::npm run,0.0
tfidf::npx,0.0
tfidf::npx hardhat,0.0
tfidf::nullable,0.0
tfidf::number,0.0
tfidf::on-chain,0.0
external_domains_average_age,0.0
tfidf::operations,0.0
tfidf::optional,0.0
tfidf::options,0.0
tfidf::order,0.0
tfidf::output,0.0
external_domains_with_age_count,0.0
tfidf::owner,0.0
tfidf::package,0.0
tfidf::packages,0.0
file_extension_diversity,0.0
tfidf::parameters,0.0
tfidf::password,0.0
tfidf::path,0.0
tfidf::payment,0.0
tfidf::payments,0.0
tfidf::performance,0.0
tfidf::pip,0.0
follower_to_following_ratio,0.0
tfidf::polygon,0.0
tfidf::polymarket,0.0
tfidf::pool,0.0
followers_count,0.0
tfidf::port,0.0
tfidf::portfolio,0.0
tfidf::position,0.0
tfidf::possible,0.0
following_count,0.0
tfidf::primary,0.0
tfidf::privacy,0.0
fork_to_star_ratio,0.0
tfidf::private key,0.0
tfidf::process,0.0
tfidf::processing,0.0
tfidf::production,0.0
tfidf::professional,0.0
tfidf::profit,0.0
forks_count,0.0
tfidf::projects,0.0
tfidf::proof,0.0
tfidf::protection,0.0
framework_hint_count,0.0
tfidf::protocols,0.0
tfidf::provide,0.0
tfidf::provided,0.0
frontend_contract_combo_flag,0.0
go_file_count,0.0
tfidf::proxy,0.0
tfidf::public,0.0
tfidf::pull,0.0
tfidf::purposes,0.0
has_archive_files,0.0
tfidf::quick,0.0
tfidf::quote,0.0
tfidf::rate,0.0
tfidf::react,0.0
tfidf::read,0.0
tfidf::real-time,0.0
tfidf::recommended,0.0
tfidf::registry,0.0
tfidf::release,0.0
tfidf::report,0.0
tfidf::reports,0.0
tfidf::reputation,0.0
tfidf::request,0.0
tfidf::requests,0.0
tfidf::required,0.0
tfidf::requirements,0.0
tfidf::research,0.0
tfidf::response,0.0
tfidf::rest,0.0
tfidf::result,0.0
tfidf::return,0.0
tfidf::returns,0.0
tfidf::reward,0.0
tfidf::rewards,0.0
tfidf::risk,0.0
tfidf::root,0.0
tfidf::rpc,0.0
tfidf::rpc endpoint,0.0
tfidf::rpc node,0.0
tfidf::run,0.0
tfidf::running,0.0
tfidf::rust,0.0
tfidf::score,0.0
tfidf::script,0.0
tfidf::scripts,0.0
tfidf::sdk,0.0
has_brownie_config,0.0
tfidf::secret,0.0
tfidf::secure,0.0
tfidf::security,0.0
has_cargo_toml,0.0
tfidf::send,0.0
has_ci_workflows,0.0
has_contracts_dir,0.0
tfidf::service,0.0
has_deploy_dir,0.0
tfidf::set,0.0
tfidf::settings,0.0
has_discussions_enabled,0.0
tfidf::sh,0.0
tfidf::shell,0.0
tfidf::sign,0.0
tfidf::signal,0.0
tfidf::signals,0.0
tfidf::signature,0.0
tfidf::simple,0.0
tfidf::single,0.0
tfidf::size,0.0
has_docs_dir,0.0
tfidf::smart contract,0.0
tfidf::smart contracts,0.0
tfidf::snipe,0.0
tfidf::snipe list,0.0
tfidf::social,0.0
tfidf::software,0.0
tfidf::sol,0.0
tfidf::sol wsol,0.0
tfidf::solana,0.0
tfidf::solidity,0.0
tfidf::solution,0.0
tfidf::specific,0.0
tfidf::specified,0.0
tfidf::src,0.0
has_downloads_enabled,0.0
tfidf::staking,0.0
tfidf::standard,0.0
has_executable_files,0.0
tfidf::started,0.0
tfidf::state,0.0
tfidf::status,0.0
tfidf::step,0.0
tfidf::steps,0.0
tfidf::stop,0.0
tfidf::stop loss,0.0
tfidf::storage,0.0
tfidf::strategy,0.0
tfidf::string,0.0
has_foundry_toml,0.0
tfidf::style,0.0
tfidf::subgraph,0.0
has_frontend_dir,0.0
tfidf::supported,0.0
tfidf::supports,0.0
tfidf::sure,0.0
has_go_mod,0.0
tfidf::target,0.0
tfidf::technical,0.0
tfidf::technology,0.0
tfidf::telegram,0.0
tfidf::template,0.0
tfidf::terminal,0.0
has_hardhat_config,0.0
has_homepage,0.0
tfidf::testnet,0.0
tfidf::tests,0.0
tfidf::text,0.0
tfidf::time,0.0
tfidf::token,0.0
tfidf::tokens,0.0
tfidf::tool,0.0
has_license_file,0.0
tfidf::total,0.0
tfidf::tracking,0.0
has_license_meta,0.0
has_migrations_dir,0.0
tfidf::transaction,0.0
has_package_json,0.0
tfidf::transfer,0.0
tfidf::true,0.0
tfidf::truffle,0.0
tfidf::trust,0.0
tfidf::trustless,0.0
tfidf::tutorial,0.0
tfidf::tx,0.0
tfidf::type,0.0
tfidf::typescript,0.0
tfidf::ui,0.0
tfidf::uint256,0.0
tfidf::unique,0.0
tfidf::uniswap,0.0
tfidf::unit,0.0
tfidf::update,0.0
tfidf::updates,0.0
tfidf::upgrade,0.0
tfidf::url,0.0
tfidf::usage,0.0
tfidf::usdc,0.0
tfidf::use,0.0
has_package_lock_json,0.0
tfidf::user,0.0
has_pages_enabled,0.0
tfidf::uses,0.0
has_pnpm_lock,0.0
tfidf::validation,0.0
tfidf::value,0.0
tfidf::values,0.0
has_projects_enabled,0.0
tfidf::variables,0.0
tfidf::verification,0.0
tfidf::verify,0.0
tfidf::version,0.0
tfidf::view,0.0
has_readme_file,0.0
archive_file_count,0.0
allow_forking,0.0
tfidf::wallets,0.0
tfidf::want,0.0
tfidf::way,0.0
tfidf::web,0.0
has_remix_config,0.0
tfidf::website,0.0
tfidf::websocket,0.0
tfidf::welcome,0.0
tfidf::whale,0.0
tfidf::windows,0.0
tfidf::work,0.0
tfidf::works,0.0
tfidf::world,0.0
tfidf::wsol,0.0
avg_path_depth,0.0
